Time,Pressure (mmHg),Altitude (ft.),Bit_Rate (Baud),Pitch (°),Slant Range (ft.),Distance to Target (ft),Roll (°)
2022-08-09 15:54:11.773944,40.735599852230784,20033.30662058633,314.8404152981352,1.3837588016666382,10485.68618025547,40058.82908590788,387.97947037831165
2022-08-09 15:54:26.338338,109.44850061669786,20037.85588708067,45.983052536561715,1.8481464662022802,12406.876316705233,40042.727367002684,379.55035859060735
2022-08-09 15:54:40.902732,220.52575886224204,20062.9120294582,283.16655055428606,1.9264037491457702,4078.8945895732913,40018.105560692646,377.05055537126395
2022-08-09 15:54:55.467126,244.34053765162543,20016.488929069485,310.3251941004668,2.9774600569608953,7236.994049396936,40015.69299018297,361.9352761444722
2022-08-09 15:55:10.031520,179.52842153405476,20073.411439702628,191.55493169905697,2.0577582764184483,12122.737218583765,40030.21728324293,385.5111460266434
2022-08-09 15:55:24.595914,94.7341534343136,19995.2767324086,295.0951049032056,1.4406416315431732,7457.092172697092,40009.11341143162,388.6589901479632
2022-08-09 15:55:39.160308,208.07143682814575,19987.707972025823,304.5854098415136,1.1691413570173403,12543.724211849292,40043.656429918345,360.1713181982642
2022-08-09 15:55:53.724702,301.8336228970587,20047.494398436116,33.340891408494755,2.168486558211302,6637.105831819591,40065.10519409253,385.2662507138714
2022-08-09 15:56:08.289096,346.47826170897696,20017.661652239447,242.57405015887534,2.269987579831839,7071.151562503405,40004.49835524931,384.7578471016416
2022-08-09 15:56:22.853490,270.8117504504841,19990.43547186729,56.63266139114528,1.6038338740625475,11753.638397770877,40011.011429864244,365.0751397891472
2022-08-09 15:56:37.417884,264.58430300354246,20029.84891864842,21.90312789019085,1.896882271868984,12055.35601687179,40035.05619179862,374.03957730069015
2022-08-09 15:56:51.982278,323.8021977669592,19960.462898291193,133.90679441345918,2.2549380504459404,6933.466399585161,40015.046732736344,381.86250169265156
2022-08-09 15:57:06.546672,243.4205682603644,19964.506681559862,335.24985317065494,1.8191046297712972,14350.62593376952,40073.59195142752,378.8672830548388
2022-08-09 15:57:21.111066,390.3781123077741,19960.078218789822,112.38393078318063,0.996751664503492,5670.41626396013,40061.87146954479,369.00677605420634
2022-08-09 15:57:35.675460,433.2172111940257,19970.35432957775,263.6486387684457,1.665954175077295,3412.862365494654,40079.906615215405,377.45835730505456
2022-08-09 15:57:50.239854,317.7512907688891,19912.299373675116,292.3979727007224,2.0574211218368332,7690.760794689998,40022.63878824425,376.2146900714077
2022-08-09 15:58:04.804248,311.51614351783957,19959.943885183166,35.559057122190886,2.2198701549865745,13526.056436347983,40049.44773053704,374.20542624122993
2022-08-09 15:58:19.368642,470.71990509771325,19957.69437972532,188.25145512298695,1.5666438854795435,2552.1913706433775,40042.343038125066,376.4864622111543
2022-08-09 15:58:33.933036,408.3717460695989,19924.887798927815,265.62962836838585,1.6173532566283144,8875.79277630477,40050.086059909874,361.4623373591892
2022-08-09 15:58:48.497430,422.37988049102535,19880.426051549348,124.90370832244429,1.8600461053957487,9746.606198852682,40079.41178601289,377.60021655445723
2022-08-09 15:59:03.061824,441.51709763320514,19911.833921044054,185.1914360141604,2.061762946131265,16500.35680028664,40054.20610660414,386.253826647565
2022-08-09 15:59:17.626218,536.3621873446534,19839.95575616005,416.764915189005,2.1449028081156083,7610.894044978385,40050.006788809216,365.3758016598398
2022-08-09 15:59:32.190612,550.5424801250339,19827.252448834413,182.46555122853104,1.3749159251424512,15955.593642094587,40076.01057730726,384.0303407952996
2022-08-09 15:59:46.755006,618.6239360031744,19829.201837963512,178.8811920541301,2.6786070072521952,7392.062081491778,40030.30211383267,365.37263893398887
2022-08-09 16:00:01.319400,583.6614339833076,19820.29127958405,171.59166548935625,1.3130223577645275,5189.165460818638,40002.07827247955,370.91582356930195
